protein,PDB ID,SMILES,Affinity Type,Affinity,pAffinity
Dopamine RECEPTOR D5,8IRV,FCCOc1ccccc1N1CCN(CCCCNC(=O)c2cc3ccccn3n2)CC1,Ki,3800,5.420216403
Dopamine RECEPTOR D5,8IRV,COc1ccccc1N1CCN(CCCCNC(=O)c2cc3ccccn3n2)CC1,Ki,3700,5.431798276
Dopamine RECEPTOR D5,8IRV,Brc1ccc(NCCN2CCN(CCc3c[nH]c4ccccc34)CC2)cc1,Ki,3600,5.443697499
Dopamine RECEPTOR D5,8IRV,Cl.CCCN(CCCCNC(=O)c1cc2ccccc2[nH]1)CC1CC1c1cccc(Cl)c1Cl,Ki,3500,5.455931956
Dopamine RECEPTOR D5,8IRV,Nc1nc2CCN(CC=C)CCc2s1,Ki,3467,5.460046158
Dopamine RECEPTOR D5,8IRV,Oc1ccc(N2CCN(CCCCOc3ccc4CCC(=O)Nc4c3)CC2)c2cccnc12,Ki,3400,5.468521083
Dopamine RECEPTOR D5,8IRV,COc1ccccc1N1CCN(CCCNC(=O)NCc2ccccc2-c2ccccc2)CC1,Ki,3300,5.48148606
Dopamine RECEPTOR D5,8IRV,Cc1ccc(nc1)N1CCN(CCCCc2ccc(F)cc2)CC1,Ki,3264,5.48624985
Dopamine RECEPTOR D5,8IRV,Fc1ccc(SCCCN2CCN(CC2)c2ccccn2)cc1,Ki,3223,5.491739694
Dopamine RECEPTOR D5,8IRV,COc1ccccc1N1CCN(CCCSc2nnc(-c3ccccc3)n2C)CC1,Ki,3016,5.520568663
Dopamine RECEPTOR D5,8IRV,NCCc1c[nH]c2ccc(O)cc12,Ki,3000,5.522878745
Dopamine RECEPTOR D5,8IRV,CN1CCc2c(Cl)c(O)c(O)cc2[C@H](C1)c1cccc(C)c1,Ki,3000,5.522878745
Dopamine RECEPTOR D5,8IRV,COc1ccc(c(CNC(=O)NCCCN2CCN(CC2)c2ccccc2OC)c1)-c1ccccc1,Ki,3000,5.522878745
Dopamine RECEPTOR D5,8IRV,CCCN(CCCCNC(=O)\C=C\c1ccc(F)cc1)C1Cc2ccccc2C1,Ki,2900,5.537602002
Dopamine RECEPTOR D5,8IRV,OC(C1CCN(CCc2ccccc2)CC1)c1ccccc1,Ki,2869,5.542269452
