protein,PDB ID,SMILES,Affinity Type,Affinity,pAffinity
Dopamine RECEPTOR D4,8IRU,C[C@H]1CO[C@H](CN1CC1CC1CCNC(=O)c1cc2ccccc2[nH]1)c1ccc(N)nc1,Ki,6650,5.177178355
Dopamine RECEPTOR D4,8IRU,COc1ccc2C(Cc3ccccc3C)N(C)CCc2c1,Ki,6644,5.177570376
Dopamine RECEPTOR D4,8IRU,CCc1cc(Cl)c(OC)c(C(=O)NC[C@@H]2CCCN2CCCCNCCC(C(=O)N(C)C)(c2ccccc2)c2ccccc2)c1O,Ki,6610,5.179798541
Dopamine RECEPTOR D4,8IRU,C(CN1CCOCC1)Oc1ccccc1Cc1ccccc1,Ki,6484,5.188156994
Dopamine RECEPTOR D4,8IRU,O=C(CN1CCN(CC1)c1ccccn1)Nc1cccnc1,Ki,6407,5.193345276
Dopamine RECEPTOR D4,8IRU,CC1NCCc2cc(O)c(O)cc12,Ki,6400,5.193820026
Dopamine RECEPTOR D4,8IRU,Cn1ccc(n1)-c1ccc2n(cc(C3CCN(CCN4CCNC4=O)CC3)c2c1)-c1ccc(F)cc1,Ki,6400,5.193820026
Dopamine RECEPTOR D4,8IRU,CCCN(CCC)C1CCn2ncc(Cl)c2C1,Ki,6400,5.193820026
Dopamine RECEPTOR D4,8IRU,COc1cccc2N(CCc12)C(=O)CN1CCN(Cc2ccc(Cl)cc2)CC1,Ki,6392,5.194363234
Dopamine RECEPTOR D4,8IRU,CC(O)CN1CCN(CCSC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,Ki,6300,5.200659451
Dopamine RECEPTOR D4,8IRU,CC(O)CN1CCN(CCSC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,Ki,6300,5.200659451
Dopamine RECEPTOR D4,8IRU,CN1CCc2cc(Cl)c(O)cc2[C@@H]2[C@@H]1CCc1c(CO)cccc21,Ki,6281,5.201971207
Dopamine RECEPTOR D4,8IRU,CCCNCCCCNC(=O)c1ccc(cc1)-c1ccccc1,Ki,6100,5.214670165
Dopamine RECEPTOR D4,8IRU,Oc1ccc(N2CCNCC2)c2ccc(=O)[nH]c12,Ki,6100,5.214670165
Dopamine RECEPTOR D4,8IRU,OC1(CCN(Cc2c[nH]c3ccccc23)CC1)c1ccc(F)cc1,Ki,6090,5.215382707
Dopamine RECEPTOR D4,8IRU,CN1CCc2cc(Cl)c(O)cc2[C@@H]2[C@@H]1CCc1c(C=O)cccc21,Ki,5972,5.223880201
Dopamine RECEPTOR D4,8IRU,Cn1c(SCCCN2CC[C@]3(C[C@@H]3c3ccc(cc3)C(F)(F)F)C2)nnc1-c1cccc(c1)C(N)=O,Ki,5888,5.230032199
Dopamine RECEPTOR D4,8IRU,CCO\N=C\c1cccc2[C@H]3[C@H](CCc12)N(C)CCc1cc(Cl)c(O)cc31,Ki,5886,5.230179742
